,iteration,arm,result,total,reward
0,0,2,поражение,0,0
1,1,1,поражение,0,0
2,2,3,победа,1,1
3,3,3,победа,2,1
4,4,3,победа,3,1
5,5,3,поражение,3,0
6,6,3,поражение,3,0
7,7,3,поражение,3,0
8,8,3,поражение,3,0
9,9,1,поражение,3,0
10,10,2,победа,4,1
11,11,2,победа,5,1
12,12,2,победа,6,1
13,13,2,победа,7,1
14,14,2,победа,8,1
15,15,2,победа,9,1
16,16,2,поражение,9,0
17,17,2,поражение,9,0
18,18,2,поражение,9,0
19,19,2,победа,10,1
20,20,2,поражение,10,0
21,21,2,поражение,10,0
22,22,2,поражение,10,0
23,23,2,поражение,10,0
24,24,2,поражение,10,0
25,25,2,поражение,10,0
26,26,2,поражение,10,0
27,27,2,поражение,10,0
28,28,2,поражение,10,0
29,29,2,поражение,10,0
