,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,3,победа,2,0,1
2,2,1,поражение,2,1,0
3,3,2,победа,3,0,1
4,4,3,победа,4,0,1
5,5,1,поражение,4,1,0
6,6,2,поражение,4,0,0
7,7,3,победа,5,0,1
8,8,2,победа,6,0,1
9,9,3,победа,7,0,1
10,10,1,поражение,7,1,0
11,11,2,поражение,7,0,0
12,12,3,победа,8,0,1
13,13,2,победа,9,0,1
14,14,3,победа,10,0,1
15,15,1,поражение,10,1,0
16,16,2,победа,11,0,1
17,17,3,победа,12,0,1
18,18,2,поражение,12,0,0
19,19,3,победа,13,0,1
20,20,1,поражение,13,1,0
21,21,2,победа,14,0,1
22,22,3,победа,15,0,1
23,23,1,поражение,15,1,0
24,24,2,поражение,15,0,0
25,25,3,победа,16,0,1
26,26,2,победа,17,0,1
27,27,3,победа,18,0,1
28,28,1,победа,19,1,1
29,29,2,поражение,19,0,0
