,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,0,0,0
1,1,1,поражение,0,1,0
2,2,3,победа,1,0,1
3,3,3,победа,2,0,1
4,4,3,победа,3,0,1
5,5,3,поражение,3,0,0
6,6,3,поражение,3,0,0
7,7,3,поражение,3,0,0
8,8,2,поражение,3,0,0
9,9,3,победа,4,0,1
10,10,3,поражение,4,0,0
11,11,3,поражение,4,0,0
12,12,3,поражение,4,0,0
13,13,3,поражение,4,0,0
14,14,3,поражение,4,0,0
15,15,3,поражение,4,0,0
16,16,2,поражение,4,0,0
17,17,1,победа,5,1,1
18,18,1,победа,6,1,1
19,19,1,победа,7,1,1
20,20,1,поражение,7,1,0
21,21,1,поражение,7,1,0
22,22,1,поражение,7,1,0
23,23,3,победа,8,0,1
24,24,3,победа,9,0,1
25,25,3,победа,10,0,1
26,26,3,победа,11,0,1
27,27,3,победа,12,0,1
28,28,3,поражение,12,0,0
29,29,3,поражение,12,0,0
