,iteration,arm,result,total,reward
0,0,2,поражение,0,0
1,1,1,поражение,0,0
2,2,3,победа,1,1
3,3,2,победа,2,1
4,4,1,поражение,2,0
5,5,3,победа,3,1
6,6,2,поражение,3,0
7,7,1,поражение,3,0
8,8,3,победа,4,1
9,9,2,поражение,4,0
10,10,1,поражение,4,0
11,11,3,победа,5,1
12,12,2,победа,6,1
13,13,1,поражение,6,0
14,14,3,победа,7,1
15,15,2,победа,8,1
16,16,3,победа,9,1
17,17,1,поражение,9,0
18,18,3,поражение,9,0
19,19,2,победа,10,1
20,20,1,поражение,10,0
21,21,3,поражение,10,0
22,22,2,победа,11,1
23,23,1,победа,12,1
24,24,3,поражение,12,0
25,25,2,победа,13,1
26,26,1,поражение,13,0
27,27,3,поражение,13,0
28,28,2,победа,14,1
29,29,1,победа,15,1
