,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,2,поражение,1,0,0
2,2,1,поражение,1,1,0
3,3,3,победа,2,0,1
4,4,3,победа,3,0,1
5,5,3,победа,4,0,1
6,6,3,победа,5,0,1
7,7,3,победа,6,0,1
8,8,3,победа,7,0,1
9,9,3,победа,8,0,1
10,10,3,поражение,8,0,0
11,11,3,поражение,8,0,0
12,12,3,поражение,8,0,0
13,13,3,победа,9,0,1
14,14,3,поражение,9,0,0
15,15,3,победа,10,0,1
16,16,3,победа,11,0,1
17,17,3,поражение,11,0,0
18,18,3,победа,12,0,1
19,19,3,победа,13,0,1
20,20,3,поражение,13,0,0
21,21,3,победа,14,0,1
22,22,3,победа,15,0,1
23,23,3,поражение,15,0,0
24,24,3,поражение,15,0,0
25,25,3,поражение,15,0,0
26,26,3,поражение,15,0,0
27,27,3,поражение,15,0,0
28,28,3,поражение,15,0,0
29,29,3,поражение,15,0,0
