,iteration,arm,result,total,reward
0,0,2,поражение,0,0
1,1,1,поражение,0,0
2,2,3,победа,1,1
3,3,2,победа,2,1
4,4,3,победа,3,1
5,5,1,поражение,3,0
6,6,2,победа,4,1
7,7,3,поражение,4,0
8,8,1,поражение,4,0
9,9,2,победа,5,1
10,10,3,поражение,5,0
11,11,2,победа,6,1
12,12,1,поражение,6,0
13,13,3,победа,7,1
14,14,2,победа,8,1
15,15,3,победа,9,1
16,16,1,победа,10,1
17,17,2,поражение,10,0
18,18,3,поражение,10,0
19,19,1,победа,11,1
20,20,2,поражение,11,0
21,21,3,победа,12,1
22,22,1,победа,13,1
23,23,2,поражение,13,0
24,24,3,поражение,13,0
25,25,1,победа,14,1
26,26,2,победа,15,1
27,27,3,поражение,15,0
28,28,1,победа,16,1
29,29,2,победа,17,1
