,iteration,arm,result,total,reward
0,0,2,поражение,0,0
1,1,1,поражение,0,0
2,2,3,победа,1,1
3,3,3,победа,2,1
4,4,3,победа,3,1
5,5,3,поражение,3,0
6,6,3,поражение,3,0
7,7,1,победа,4,1
8,8,1,поражение,4,0
9,9,3,поражение,4,0
10,10,1,победа,5,1
11,11,1,поражение,5,0
12,12,1,победа,6,1
13,13,1,победа,7,1
14,14,1,победа,8,1
15,15,1,победа,9,1
16,16,1,поражение,9,0
17,17,1,поражение,9,0
18,18,1,поражение,9,0
19,19,1,поражение,9,0
20,20,1,поражение,9,0
21,21,1,поражение,9,0
22,22,2,победа,10,1
23,23,2,победа,11,1
24,24,2,победа,12,1
25,25,2,поражение,12,0
26,26,3,победа,13,1
27,27,3,победа,14,1
28,28,3,поражение,14,0
29,29,3,победа,15,1
