,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,0,1,0
1,1,3,победа,1,0,1
2,2,1,поражение,1,0,0
3,3,3,победа,2,0,1
4,4,3,победа,3,0,1
5,5,3,победа,4,0,1
6,6,3,поражение,4,0,0
7,7,2,поражение,4,1,0
8,8,1,победа,5,0,1
9,9,3,поражение,5,0,0
10,10,3,поражение,5,0,0
11,11,3,поражение,5,0,0
12,12,2,поражение,5,1,0
13,13,1,победа,6,0,1
14,14,1,победа,7,0,1
15,15,1,победа,8,0,1
16,16,1,победа,9,0,1
17,17,1,победа,10,0,1
18,18,1,победа,11,0,1
19,19,1,поражение,11,0,0
20,20,1,поражение,11,0,0
21,21,1,поражение,11,0,0
22,22,1,поражение,11,0,0
23,23,2,победа,12,1,1
24,24,3,победа,13,0,1
25,25,3,поражение,13,0,0
26,26,1,поражение,13,0,0
27,27,1,поражение,13,0,0
28,28,2,победа,14,1,1
29,29,2,победа,15,1,1
