,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,1,поражение,1,0,0
2,2,3,победа,2,1,1
3,3,2,поражение,2,0,0
4,4,1,победа,3,0,1
5,5,3,победа,4,1,1
6,6,2,поражение,4,0,0
7,7,1,поражение,4,0,0
8,8,3,победа,5,1,1
9,9,2,поражение,5,0,0
10,10,1,поражение,5,0,0
11,11,3,победа,6,1,1
12,12,1,поражение,6,0,0
13,13,3,победа,7,1,1
14,14,2,победа,8,0,1
15,15,1,поражение,8,0,0
16,16,3,победа,9,1,1
17,17,2,победа,10,0,1
18,18,1,поражение,10,0,0
19,19,3,победа,11,1,1
20,20,2,победа,12,0,1
21,21,1,поражение,12,0,0
22,22,3,победа,13,1,1
23,23,2,победа,14,0,1
24,24,1,поражение,14,0,0
25,25,3,победа,15,1,1
26,26,2,поражение,15,0,0
27,27,1,поражение,15,0,0
28,28,3,победа,16,1,1
29,29,2,поражение,16,0,0
