,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,3,0,1
1,1,1,поражение,3,0,0
2,2,3,победа,4,1,1
3,3,2,победа,4,0,1
4,4,1,поражение,4,0,0
5,5,3,победа,4,1,1
6,6,2,победа,5,0,1
7,7,1,поражение,5,0,0
8,8,3,победа,6,1,1
9,9,2,поражение,6,0,0
10,10,1,поражение,6,0,0
11,11,3,победа,7,1,1
12,12,2,поражение,7,0,0
13,13,1,поражение,7,0,0
14,14,3,победа,8,1,1
15,15,2,победа,9,0,1
16,16,1,поражение,9,0,0
17,17,3,победа,9,1,1
18,18,2,поражение,9,0,0
19,19,1,поражение,9,0,0
20,20,3,победа,10,1,1
21,21,2,поражение,10,0,0
22,22,1,поражение,10,0,0
23,23,3,победа,11,1,1
24,24,2,поражение,11,0,0
25,25,1,поражение,11,0,0
26,26,3,победа,12,1,1
27,27,2,победа,13,0,1
28,28,1,поражение,13,0,0
29,29,3,победа,13,1,1
