,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,2,0,0
1,1,1,поражение,2,1,0
2,2,3,победа,3,0,1
3,3,3,победа,3,0,1
4,4,2,поражение,3,0,0
5,5,1,поражение,3,1,0
6,6,3,победа,4,0,1
7,7,3,победа,4,0,1
8,8,3,победа,5,0,1
9,9,3,победа,6,0,1
10,10,3,поражение,6,0,0
11,11,2,поражение,6,0,0
12,12,1,победа,7,1,1
13,13,3,победа,8,0,1
14,14,3,поражение,8,0,0
15,15,1,победа,8,1,1
16,16,2,поражение,8,0,0
17,17,3,поражение,8,0,0
18,18,1,победа,9,1,1
19,19,2,поражение,9,0,0
20,20,3,поражение,9,0,0
21,21,1,победа,9,1,1
22,22,2,поражение,9,0,0
23,23,3,поражение,9,0,0
24,24,1,победа,10,1,1
25,25,2,поражение,10,0,0
26,26,3,поражение,10,0,0
27,27,1,победа,11,1,1
28,28,2,поражение,11,0,0
29,29,3,победа,12,0,1
