,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,3,1,0
1,1,1,поражение,3,0,0
2,2,3,победа,4,0,1
3,3,3,победа,5,0,1
4,4,3,победа,6,0,1
5,5,3,победа,7,0,1
6,6,3,победа,7,0,1
7,7,3,поражение,7,0,0
8,8,1,поражение,7,0,0
9,9,2,победа,8,1,1
10,10,3,победа,9,0,1
11,11,2,победа,10,1,1
12,12,3,победа,11,0,1
13,13,2,поражение,11,1,0
14,14,3,победа,12,0,1
15,15,3,победа,13,0,1
16,16,3,победа,13,0,1
17,17,3,победа,14,0,1
18,18,2,победа,15,1,1
19,19,3,победа,16,0,1
20,20,3,поражение,16,0,0
21,21,2,победа,17,1,1
22,22,3,поражение,17,0,0
23,23,1,поражение,17,0,0
24,24,2,победа,17,1,1
25,25,3,поражение,17,0,0
26,26,2,победа,18,1,1
27,27,3,поражение,18,0,0
28,28,2,победа,19,1,1
29,29,3,победа,19,0,1
