,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,3,0,0
1,1,1,победа,4,0,1
2,2,3,победа,5,1,1
3,3,2,поражение,5,0,0
4,4,1,победа,6,0,1
5,5,3,победа,7,1,1
6,6,2,поражение,7,0,0
7,7,1,поражение,7,0,0
8,8,3,победа,8,1,1
9,9,3,победа,9,1,1
10,10,3,победа,9,1,1
11,11,3,победа,10,1,1
12,12,3,победа,11,1,1
13,13,3,поражение,11,1,0
14,14,1,победа,12,0,1
15,15,1,победа,12,0,1
16,16,1,победа,13,0,1
17,17,2,победа,14,0,1
18,18,2,победа,14,0,1
19,19,2,победа,14,0,1
20,20,2,победа,15,0,1
21,21,2,победа,16,0,1
22,22,2,победа,17,0,1
23,23,2,победа,18,0,1
24,24,2,поражение,18,0,0
25,25,2,поражение,18,0,0
26,26,1,поражение,18,0,0
27,27,3,победа,19,1,1
28,28,3,победа,19,1,1
29,29,3,победа,20,1,1
