,iteration,arm,result,total,best_handle_probability,reward
0,0,3,победа,4,0,1
1,1,3,победа,4,0,1
2,2,3,победа,5,0,1
3,3,3,победа,5,0,1
4,4,3,победа,5,0,1
5,5,3,победа,5,0,1
6,6,3,победа,5,0,1
7,7,3,победа,6,0,1
8,8,3,поражение,6,0,0
9,9,3,победа,7,0,1
10,10,3,победа,8,0,1
11,11,3,победа,9,0,1
12,12,3,победа,10,0,1
13,13,3,победа,11,0,1
14,14,3,победа,12,0,1
15,15,3,победа,13,0,1
16,16,3,победа,14,0,1
17,17,3,победа,15,0,1
18,18,3,победа,16,0,1
19,19,3,победа,17,0,1
20,20,3,победа,18,0,1
21,21,3,победа,19,0,1
22,22,3,победа,19,0,1
23,23,3,победа,20,0,1
24,24,3,победа,21,0,1
25,25,3,поражение,21,0,0
26,26,3,поражение,21,0,0
27,27,3,поражение,21,0,0
28,28,3,поражение,21,0,0
29,29,3,поражение,21,0,0
