,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,4,0,1
1,1,2,поражение,4,0,0
2,2,1,поражение,4,0,0
3,3,3,победа,5,1,1
4,4,3,победа,5,1,1
5,5,3,победа,6,1,1
6,6,3,победа,7,1,1
7,7,3,поражение,7,1,0
8,8,2,победа,8,0,1
9,9,2,победа,9,0,1
10,10,2,победа,10,0,1
11,11,2,поражение,10,0,0
12,12,3,поражение,10,1,0
13,13,1,победа,11,0,1
14,14,1,победа,12,0,1
15,15,1,победа,13,0,1
16,16,1,поражение,13,0,0
17,17,2,победа,14,0,1
18,18,2,победа,15,0,1
19,19,2,победа,16,0,1
20,20,2,поражение,16,0,0
21,21,3,победа,16,1,1
22,22,3,поражение,16,1,0
23,23,1,победа,16,0,1
24,24,1,победа,17,0,1
25,25,1,победа,18,0,1
26,26,1,победа,19,0,1
27,27,1,поражение,19,0,0
28,28,2,победа,20,0,1
29,29,2,победа,20,0,1
