,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,3,0,0
1,1,3,победа,4,1,1
2,2,1,поражение,4,0,0
3,3,3,победа,5,1,1
4,4,2,победа,6,0,1
5,5,1,поражение,6,0,0
6,6,3,победа,7,1,1
7,7,2,поражение,7,0,0
8,8,1,поражение,7,0,0
9,9,3,победа,8,1,1
10,10,2,победа,8,0,1
11,11,1,поражение,8,0,0
12,12,3,победа,9,1,1
13,13,2,поражение,9,0,0
14,14,1,поражение,9,0,0
15,15,3,победа,10,1,1
16,16,2,победа,11,0,1
17,17,1,поражение,11,0,0
18,18,3,победа,12,1,1
19,19,2,победа,13,0,1
20,20,1,поражение,13,0,0
21,21,3,победа,13,1,1
22,22,2,победа,14,0,1
23,23,1,поражение,14,0,0
24,24,3,победа,15,1,1
25,25,2,поражение,15,0,0
26,26,1,поражение,15,0,0
27,27,3,победа,16,1,1
28,28,2,поражение,16,0,0
29,29,1,поражение,16,0,0
