,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,3,0,0
1,1,3,победа,4,0,1
2,2,1,поражение,4,1,0
3,3,3,победа,4,0,1
4,4,2,победа,5,0,1
5,5,1,поражение,5,1,0
6,6,3,победа,6,0,1
7,7,2,победа,6,0,1
8,8,1,победа,7,1,1
9,9,3,победа,8,0,1
10,10,2,победа,8,0,1
11,11,1,победа,8,1,1
12,12,3,поражение,8,0,0
13,13,2,поражение,8,0,0
14,14,1,победа,9,1,1
15,15,2,поражение,9,0,0
16,16,3,победа,10,0,1
17,17,1,победа,11,1,1
18,18,2,поражение,11,0,0
19,19,3,поражение,11,0,0
20,20,1,победа,12,1,1
21,21,2,поражение,12,0,0
22,22,3,поражение,12,0,0
23,23,1,победа,13,1,1
24,24,2,поражение,13,0,0
25,25,3,победа,14,0,1
26,26,1,победа,15,1,1
27,27,2,поражение,15,0,0
28,28,3,поражение,15,0,0
29,29,1,победа,15,1,1
