,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,1,0
1,1,2,поражение,0,0,0
2,2,3,победа,0,0,1
3,3,1,поражение,0,1,0
4,4,2,победа,1,0,1
5,5,3,победа,1,0,1
6,6,1,победа,2,1,1
7,7,2,победа,3,0,1
8,8,3,поражение,3,0,0
9,9,1,поражение,3,1,0
10,10,2,победа,3,0,1
11,11,3,победа,4,0,1
12,12,2,победа,5,0,1
13,13,1,победа,6,1,1
14,14,2,поражение,6,0,0
15,15,3,поражение,6,0,0
16,16,1,победа,7,1,1
17,17,2,поражение,7,0,0
18,18,1,победа,8,1,1
19,19,3,победа,9,0,1
20,20,2,поражение,9,0,0
21,21,3,победа,10,0,1
22,22,1,победа,11,1,1
23,23,2,поражение,11,0,0
24,24,3,поражение,11,0,0
25,25,1,победа,11,1,1
26,26,2,поражение,11,0,0
27,27,3,победа,12,0,1
28,28,1,победа,12,1,1
29,29,2,поражение,12,0,0
