,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,3,победа,2,0,1
2,2,1,поражение,2,1,0
3,3,2,победа,3,0,1
4,4,3,победа,4,0,1
5,5,1,поражение,4,1,0
6,6,2,победа,5,0,1
7,7,3,победа,6,0,1
8,8,1,поражение,6,1,0
9,9,2,поражение,6,0,0
10,10,3,победа,7,0,1
11,11,1,победа,7,1,1
12,12,2,поражение,7,0,0
13,13,3,победа,8,0,1
14,14,3,победа,9,0,1
15,15,2,поражение,9,0,0
16,16,3,победа,10,0,1
17,17,3,победа,10,0,1
18,18,3,победа,11,0,1
19,19,3,победа,12,0,1
20,20,3,поражение,12,0,0
21,21,3,поражение,12,0,0
22,22,3,поражение,12,0,0
23,23,3,поражение,12,0,0
24,24,3,поражение,12,0,0
25,25,3,поражение,12,0,0
26,26,1,победа,13,1,1
27,27,1,победа,14,1,1
28,28,1,победа,15,1,1
29,29,1,победа,15,1,1
