,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,0,0
1,1,2,поражение,0,1,0
2,2,3,победа,0,0,1
3,3,3,победа,0,0,1
4,4,1,поражение,0,0,0
5,5,2,победа,1,1,1
6,6,3,победа,2,0,1
7,7,2,поражение,2,1,0
8,8,3,победа,2,0,1
9,9,1,поражение,2,0,0
10,10,3,победа,2,0,1
11,11,2,поражение,2,1,0
12,12,1,поражение,2,0,0
13,13,3,победа,3,0,1
14,14,2,поражение,3,1,0
15,15,1,поражение,3,0,0
16,16,3,победа,3,0,1
17,17,2,поражение,3,1,0
18,18,1,победа,4,0,1
19,19,3,победа,4,0,1
20,20,2,поражение,4,1,0
21,21,1,поражение,4,0,0
22,22,3,победа,5,0,1
23,23,2,победа,6,1,1
24,24,1,поражение,6,0,0
25,25,3,победа,7,0,1
26,26,3,победа,8,0,1
27,27,3,победа,9,0,1
28,28,3,поражение,9,0,0
29,29,3,поражение,9,0,0
