,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,0,0,0
1,1,1,поражение,0,1,0
2,2,3,победа,1,0,1
3,3,3,победа,2,0,1
4,4,3,победа,3,0,1
5,5,3,поражение,3,0,0
6,6,3,поражение,3,0,0
7,7,3,поражение,3,0,0
8,8,3,поражение,3,0,0
9,9,1,победа,4,1,1
10,10,2,победа,5,0,1
11,11,2,победа,6,0,1
12,12,1,поражение,6,1,0
13,13,3,победа,7,0,1
14,14,3,победа,8,0,1
15,15,3,победа,9,0,1
16,16,3,поражение,9,0,0
17,17,2,поражение,9,0,0
18,18,1,победа,10,1,1
19,19,3,поражение,10,0,0
20,20,1,победа,11,1,1
21,21,2,поражение,11,0,0
22,22,3,победа,12,0,1
23,23,1,победа,13,1,1
24,24,2,поражение,13,0,0
25,25,3,поражение,13,0,0
26,26,1,победа,14,1,1
27,27,2,поражение,14,0,0
28,28,3,победа,15,0,1
29,29,1,победа,16,1,1
