,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,0,0
1,1,2,поражение,0,0,0
2,2,3,победа,1,1,1
3,3,3,победа,2,1,1
4,4,3,победа,3,1,1
5,5,3,победа,4,1,1
6,6,3,победа,5,1,1
7,7,3,победа,6,1,1
8,8,3,поражение,6,1,0
9,9,2,победа,7,0,1
10,10,2,победа,8,0,1
11,11,2,победа,9,0,1
12,12,2,поражение,9,0,0
13,13,2,победа,10,0,1
14,14,2,поражение,10,0,0
15,15,2,победа,11,0,1
16,16,2,победа,12,0,1
17,17,2,поражение,12,0,0
18,18,2,поражение,12,0,0
19,19,2,победа,13,0,1
20,20,2,поражение,13,0,0
21,21,2,поражение,13,0,0
22,22,2,победа,14,0,1
23,23,2,поражение,14,0,0
24,24,2,поражение,14,0,0
25,25,2,поражение,14,0,0
26,26,2,поражение,14,0,0
27,27,2,поражение,14,0,0
28,28,2,победа,15,0,1
29,29,2,победа,16,0,1
