,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,1,победа,2,1,1
2,2,3,победа,3,0,1
3,3,2,поражение,3,0,0
4,4,3,победа,4,0,1
5,5,2,поражение,4,0,0
6,6,1,поражение,4,1,0
7,7,3,победа,5,0,1
8,8,2,победа,6,0,1
9,9,1,поражение,6,1,0
10,10,3,победа,7,0,1
11,11,2,поражение,7,0,0
12,12,2,победа,8,0,1
13,13,2,победа,9,0,1
14,14,2,поражение,9,0,0
15,15,2,поражение,9,0,0
16,16,2,поражение,9,0,0
17,17,2,поражение,9,0,0
18,18,3,победа,10,0,1
19,19,3,победа,11,0,1
20,20,3,победа,12,0,1
21,21,3,поражение,12,0,0
22,22,3,победа,13,0,1
23,23,3,поражение,13,0,0
24,24,3,поражение,13,0,0
25,25,3,поражение,13,0,0
26,26,3,поражение,13,0,0
27,27,3,поражение,13,0,0
28,28,3,поражение,13,0,0
29,29,1,победа,14,1,1
