,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,1,0
1,1,2,поражение,0,0,0
2,2,3,победа,1,0,1
3,3,3,победа,2,0,1
4,4,3,победа,3,0,1
5,5,3,поражение,3,0,0
6,6,1,поражение,3,1,0
7,7,1,победа,4,1,1
8,8,1,победа,5,1,1
9,9,1,победа,6,1,1
10,10,1,победа,7,1,1
11,11,1,победа,8,1,1
12,12,1,победа,9,1,1
13,13,1,поражение,9,1,0
14,14,1,поражение,9,1,0
15,15,2,победа,10,0,1
16,16,2,победа,11,0,1
17,17,2,победа,12,0,1
18,18,2,поражение,12,0,0
19,19,2,поражение,12,0,0
20,20,3,поражение,12,0,0
21,21,3,победа,13,0,1
22,22,3,победа,14,0,1
23,23,3,поражение,14,0,0
24,24,3,победа,15,0,1
25,25,3,победа,16,0,1
26,26,3,поражение,16,0,0
27,27,3,поражение,16,0,0
28,28,3,поражение,16,0,0
29,29,3,поражение,16,0,0
