,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,0,0,0
1,1,3,победа,1,0,1
2,2,3,победа,2,0,1
3,3,1,поражение,2,1,0
4,4,3,победа,3,0,1
5,5,3,победа,4,0,1
6,6,1,поражение,4,1,0
7,7,3,победа,5,0,1
8,8,3,победа,6,0,1
9,9,3,победа,7,0,1
10,10,1,поражение,7,1,0
11,11,3,победа,8,0,1
12,12,3,победа,9,0,1
13,13,3,победа,10,0,1
14,14,1,победа,11,1,1
15,15,1,победа,12,1,1
16,16,1,победа,13,1,1
17,17,1,победа,14,1,1
18,18,1,победа,15,1,1
19,19,1,победа,16,1,1
20,20,1,поражение,16,1,0
21,21,3,победа,17,0,1
22,22,3,победа,18,0,1
23,23,3,победа,19,0,1
24,24,3,поражение,19,0,0
25,25,3,победа,20,0,1
26,26,3,победа,21,0,1
27,27,3,поражение,21,0,0
28,28,3,поражение,21,0,0
29,29,3,победа,22,0,1
