,iteration,arm,result,total,best_handle_probability,reward
0,0,2,поражение,0,0,0
1,1,2,поражение,0,0,0
2,2,2,победа,1,0,1
3,3,2,поражение,1,0,0
4,4,3,победа,2,0,1
5,5,1,поражение,2,1,0
6,6,1,поражение,2,1,0
7,7,1,поражение,2,1,0
8,8,3,победа,3,0,1
9,9,3,победа,4,0,1
10,10,3,победа,5,0,1
11,11,3,поражение,5,0,0
12,12,3,поражение,5,0,0
13,13,3,поражение,5,0,0
14,14,1,победа,6,1,1
15,15,1,победа,7,1,1
16,16,1,победа,8,1,1
17,17,1,победа,9,1,1
18,18,1,победа,10,1,1
19,19,1,победа,11,1,1
20,20,1,победа,12,1,1
21,21,1,победа,13,1,1
22,22,1,победа,14,1,1
23,23,1,поражение,14,1,0
24,24,1,поражение,14,1,0
25,25,2,победа,15,0,1
26,26,2,победа,16,0,1
27,27,2,победа,17,0,1
28,28,2,поражение,17,0,0
29,29,2,поражение,17,0,0
