,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,2,победа,2,0,1
2,2,3,победа,3,1,1
3,3,1,поражение,3,0,0
4,4,2,победа,4,0,1
5,5,3,поражение,4,1,0
6,6,2,победа,5,0,1
7,7,2,победа,6,0,1
8,8,2,победа,7,0,1
9,9,2,поражение,7,0,0
10,10,3,поражение,7,1,0
11,11,1,победа,8,0,1
12,12,1,победа,9,0,1
13,13,3,победа,10,1,1
14,14,3,победа,11,1,1
15,15,3,поражение,11,1,0
16,16,1,победа,12,0,1
17,17,1,победа,13,0,1
18,18,1,победа,14,0,1
19,19,1,победа,15,0,1
20,20,1,поражение,15,0,0
21,21,2,победа,16,0,1
22,22,2,победа,17,0,1
23,23,2,победа,18,0,1
24,24,2,победа,19,0,1
25,25,2,победа,20,0,1
26,26,2,победа,21,0,1
27,27,2,поражение,21,0,0
28,28,2,поражение,21,0,0
29,29,3,победа,22,1,1
