,iteration,arm,result,total,best_handle_probability,reward
0,0,2,победа,1,0,1
1,1,2,победа,2,0,1
2,2,2,поражение,2,0,0
3,3,1,поражение,2,0,0
4,4,3,победа,3,1,1
5,5,1,победа,4,0,1
6,6,2,поражение,4,0,0
7,7,3,победа,5,1,1
8,8,1,победа,6,0,1
9,9,2,победа,7,0,1
10,10,3,победа,8,1,1
11,11,1,победа,9,0,1
12,12,2,победа,10,0,1
13,13,3,победа,11,1,1
14,14,2,поражение,11,0,0
15,15,1,поражение,11,0,0
16,16,3,победа,12,1,1
17,17,2,поражение,12,0,0
18,18,1,поражение,12,0,0
19,19,3,победа,13,1,1
20,20,2,поражение,13,0,0
21,21,1,поражение,13,0,0
22,22,3,победа,14,1,1
23,23,2,поражение,14,0,0
24,24,1,поражение,14,0,0
25,25,3,победа,15,1,1
26,26,2,поражение,15,0,0
27,27,1,победа,16,0,1
28,28,3,победа,17,1,1
29,29,2,поражение,17,0,0
